hypothesis,params,return_%,sharpe,sortino,maxdd_%,winrate_%,trades,calmar,profit_factor,beats_sharpe,beats_return,beats_dd
07_rsi_extreme,p=28_<30/>70,-56.1,-1.046,-1.419,63.8,59.6,287,-0.97,0.791,False,False,False
07_rsi_extreme,p=60_<30/>70,-80.8,-2.936,-3.726,81.57,29.4,68,-1.049,0.118,False,False,False
08_rsi_neutre,p=14_40-60,-0.89,0.32,0.439,55.65,63.9,302,-0.019,0.998,False,False,False
08_rsi_neutre,p=28_40-60,65.24,1.228,1.701,46.01,64.7,306,1.743,1.152,False,False,False
08_rsi_neutre,p=60_40-60,319.58,2.733,3.863,39.64,71.0,366,11.029,1.415,True,True,True
09_momentum_epuise,lb=12_|roc|<0.5%,-43.37,-0.719,-0.978,64.49,60.4,273,-0.754,0.843,False,False,False
09_momentum_epuise,lb=60_|roc|<0.5%,45.87,2.053,2.995,14.54,75.0,56,3.829,2.379,True,False,True
09_momentum_epuise,lb=288_|roc|<0.5%,14.62,0.595,0.804,21.38,69.2,91,0.811,1.129,False,False,True
10_no_strong_momentum,lb=12_|roc|<2%,39.1,0.895,1.241,48.51,66.5,376,0.974,1.08,False,False,False
10_no_strong_momentum,lb=60_|roc|<2%,165.76,2.442,3.444,30.36,70.3,239,7.064,1.563,True,False,True
10_no_strong_momentum,lb=288_|roc|<2%,93.8,1.717,2.393,27.91,68.9,190,4.2,1.395,False,False,True
11_funding_neg,fr<-0.0001,53.36,1.182,1.666,31.27,68.8,224,2.082,1.178,False,False,True
